prompt,chosen,rejected
How impressive your skills are!,exclamative,declarative
"Wow, what a lovely gift!",exclamative,interrogative
Venus rotates backward compared to other planets.,declarative,interrogative
How fabulous your hair looks!,exclamative,imperative
Quite the sight!,exclamative,imperative
Lightning can strike the same place multiple times.,declarative,interrogative
Be the difference!,exclamative,imperative
Discuss thought-provoking topics.,imperative,declarative
Enjoy the journey.,imperative,exclamative
Do you have any pets?,interrogative,imperative
"Yippee, how exciting!",exclamative,declarative
How refreshing this cool breeze feels!,exclamative,imperative
That's dope!,exclamative,declarative
What’s your favorite weekend activity?,interrogative,imperative
How joyful the music is at this festival!,exclamative,imperative
"Yikes, keep your wits about you!",exclamative,interrogative
Please check your answers.,imperative,interrogative
"Eek, I can hardly breathe!",exclamative,interrogative
A flamingo's color comes from its diet.,declarative,exclamative
How inviting the firepit looks!,exclamative,interrogative
Seek joy in small victories.,imperative,declarative
How delightful the treat from the bakery was!,exclamative,imperative
"Yay, it’s party time!",exclamative,interrogative
Snakes can help predict earthquakes due to sensitivity to underground vibrations.,declarative,imperative
Took care of that!,exclamative,declarative
Whoop it up!,exclamative,declarative
What a splendid sunset we witnessed!,exclamative,declarative
Encouragement!,exclamative,interrogative
Kiss my grits!,exclamative,declarative
How vibrant the colors are here!,exclamative,imperative
Invite joy into your life.,imperative,exclamative
Rats laugh when they are tickled.,declarative,exclamative
Appreciate the journey.,imperative,exclamative
How stunning this landscape is!,exclamative,interrogative
Don’t peek.,imperative,declarative
Cultivate a hobby.,imperative,declarative
Evaluate your progress.,imperative,declarative
"A group of lions is called a ""pride.""",declarative,exclamative
What’s happening?,exclamative,imperative
What a colorful street mural!,exclamative,declarative
"Wow, that’s a strong opinion!",exclamative,declarative
What an inspiring lecture!,exclamative,imperative
Apparently!,exclamative,imperative
The average human body contains enough fat to make seven bars of soap.,declarative,exclamative
Expand your vocabulary.,imperative,exclamative
Gosh golly!,exclamative,declarative
Out of this world!,exclamative,declarative
Are you a fan of art?,interrogative,exclamative
Do you have a role model?,interrogative,declarative
Cultivate resilience as a team.,imperative,exclamative
Dolphins are known to use tools to hunt for food.,declarative,imperative
"Whoa, what a rush!",exclamative,declarative
How picturesque that sunset was!,exclamative,interrogative
Celebrate achievements.,imperative,exclamative
Send a postcard.,imperative,exclamative
Enjoy the silence.,imperative,exclamative
What a delight!,exclamative,interrogative
For crying out loud!,exclamative,imperative
Are you an optimist or a pessimist?,interrogative,exclamative
How delightful and energetic this atmosphere is!,exclamative,imperative
Welcome new learnings.,imperative,exclamative
What a magnificent view from this height!,exclamative,interrogative
What’s your favorite thing about winter?,interrogative,declarative
"Yay, let’s celebrate every moment!",exclamative,declarative
What a powerful performance!,exclamative,imperative
Be there!,exclamative,interrogative
"Amazing, what a journey!",exclamative,imperative
How beautiful the autumn colors are!,exclamative,declarative
What a fabulous idea!,exclamative,declarative
Uh-oh!,exclamative,declarative
Stay dedicated to your goals.,imperative,declarative
"A flock of crows is called a ""murder.""",declarative,exclamative
What a charming little town square!,exclamative,imperative
How inspiring her speech was!,exclamative,declarative
Jeez!,exclamative,imperative
Marvel at life!,exclamative,declarative
"Hooray, life is good!",exclamative,interrogative
Wow!,exclamative,declarative
Do you enjoy sharing your ideas in groups?,interrogative,imperative
Play a game.,imperative,declarative
Take a walk outside.,imperative,declarative
How fun this new game is!,exclamative,declarative
Shebang!,exclamative,declarative
Gather the toys.,imperative,interrogative
Be the voice for the voiceless.,imperative,interrogative
Clownfish can change their sex later in life.,declarative,imperative
Here we go again!,exclamative,declarative
What an extraordinary exhibition!,exclamative,declarative
What a unique and inspiring perspective!,exclamative,interrogative
What brilliance!,exclamative,imperative
Honey bees communicate through dance.,declarative,interrogative
The average cat sleeps for about 12 to 16 hours a day.,declarative,exclamative
Yummy!,exclamative,declarative
Sharks have been around longer than trees.,declarative,exclamative
Gimme a break!,exclamative,imperative
Do you have a favorite family tradition?,interrogative,exclamative
Life's richness!,exclamative,declarative
Sit down.,imperative,declarative
"Wow, that’s unprecedented!",exclamative,declarative
The unicorn is the national animal of Scotland.,declarative,interrogative
Super cool!,exclamative,declarative
Truly terrific!,exclamative,declarative
Sloths are known to be excellent swimmers.,declarative,interrogative
On top of the world!,exclamative,imperative
Excuse me!,exclamative,declarative
Yes indeedy!,exclamative,interrogative
Have you ever attended a wedding?,interrogative,declarative
Can you recall a time when you were pleasantly surprised?,interrogative,imperative
What are you reading?,interrogative,exclamative
Nice catch!,exclamative,declarative
Cockroaches can live several weeks without their heads.,declarative,exclamative
"Whoa, intense emotions!",exclamative,imperative
Bamboo can grow 35 inches in a single day.,declarative,imperative
Tune into your thoughts.,imperative,exclamative
How beautiful your handwriting is!,exclamative,interrogative
Hear the world sing!,exclamative,interrogative
Please show me.,imperative,exclamative
How lovely this old town feels!,exclamative,declarative
Snakes have a special organ to detect infrared heat.,declarative,exclamative
Become part of your community.,imperative,interrogative
Oh brother!,exclamative,interrogative
How beautiful these intricate details are!,exclamative,declarative
What a peppy attitude you have!,exclamative,declarative
"Eek, spooky shadows!",exclamative,interrogative
The Great Wall of China is visible from space.,declarative,imperative
Make up your mind.,imperative,declarative
"Hooray, we’re on our way!",exclamative,imperative
What’s your favorite fast food?,interrogative,declarative
Three cheers!,exclamative,declarative
Squirrels are known to plant thousands of trees each year by forgetting where they've buried their nuts.,declarative,exclamative
"A group of giraffes is called a ""tower.""",declarative,interrogative
"Awesome, I’m loving this!",exclamative,declarative
"Eek, stay alert!",exclamative,imperative
"Eek, that’s quite alarming!",exclamative,declarative
Are you a fan of nature walks?,interrogative,exclamative
Screaming!,exclamative,imperative
Keep your chin up.,imperative,interrogative
"The world's most expensive pizza costs over $12,000.",declarative,interrogative
How do you express creativity?,interrogative,exclamative
Order the pizza.,imperative,interrogative
"Eek, what an intense moment!",exclamative,imperative
Appreciate uniqueness.,imperative,exclamative
Celebrate your achievements.,imperative,exclamative
I declare!,exclamative,imperative
What’s your favorite holiday tradition?,interrogative,declarative
What is your favorite season?,interrogative,exclamative
What a thoughtful card!,exclamative,interrogative
What a sweetheart!,exclamative,declarative
What an impressive collection of books!,exclamative,imperative
"Amazing, let’s make this happen!",exclamative,interrogative
What a delicious array of hors d'oeuvres!,exclamative,interrogative
Give yourself grace.,imperative,exclamative
Turn your voice up.,imperative,interrogative
Write on the board.,imperative,interrogative
Celebrate you!,exclamative,imperative
The average person spends six months of their lifetime waiting for red lights to turn green.,declarative,exclamative
Egads!,exclamative,declarative
What movie can you watch over and over again?,interrogative,imperative
"Wow, that’s exhilarating!",exclamative,interrogative
What a fascinating book you’re reading!,exclamative,imperative
Do you like to try new foods?,interrogative,declarative
Share your professional journey.,imperative,declarative
Absolutely lovely!,exclamative,interrogative
"A group of owls is collectively known as a ""parliament.""",declarative,exclamative
